SSE FACTORS,standard_baseline,min_baseline,max_baseline,standard_2020s,min_2020s,max_2020s,standard_2050s,min_2050s,max_2050s,standard_2080s,min_2080s,max_2080s
Pop_changeSlider,0,-50,100,5,-15,25,11,-16,43,7,-40,72
Green_redSlider,3,1,5,4,2,5,4,2,5,5,3,5
RuminantLivestkProductsDemandSlider,0,-100,100,-17,-87,100,-60,-87,100,-81,-87,100
NonRuminantLivestckProductsDemandSlider,0,-100,100,0,-36,100,-14,-36,100,-26,-36,100
StructChangeSlider,0,-50,50,0,-26,57,0,-26,57,35,-26,57
techfacSlider,0,0,100,10,-42,135,46,-42,135,95,-42,400
TechChangeSlider,0,-75,75,0,-12,90,29,-12,90,40,-12,90
yieldfacSlider,0,-50,100,-2,-80,133,-9,-80,133,-16,-80,133
IrrigationEfficiencyFactorSlider,0,-50,100,8,-41,94,25,-41,94,45,-41,94
GDP_changeSlider,0,-20,200,31,0,200,123,0,416,219,0,1371
costsfacSlider,100,0,400,100,0,500,128,0,500,164,0,500
importfacSlider,0,-20,80,2,-20,40,-1.9,0,40,-7.8,-20,40
BioEnergyCropDemandSlider,0,0,15,1,0,40,4,0,40,9.3,0,40
ArableConservationLandScalarSlider,3,0,10,3,0,35,4,0,35,5.5,0,35
CropInputsFactorSlider,1,0.5,2,1.11,0.9,2,1.43,0.9,2,1.64,0.9,2
coastalSlider,100,0,500,100,0,500,100,0,500,100,0,500
fluvialSlider,100,0,500,100,0,500,100,0,500,100,0,500
HabitatRecreationSlider,0,-100,100,0,-100,100,0,-100,100,0,-100,100
PA_ForestrySlider,0,0,100,0,0,100,0,0,100,0,0,100
PA_AgricultureSlider,0,0,100,0,0,100,0,0,100,0,0,100
